Category,Front,Back,Pronunciation,PartOfSpeech,Difficulty,Example,Tags
Everyday Situations,Vicinity,કોઈ સ્થળની આસપાસનો / નજીકનો વિસ્તાર.,વિસિનિટી,noun,Advanced,Is there a bank in the vicinity?,Everyday_Situations; Asking_&_Navigation; Advanced
Everyday Situations,Detour,મુખ્ય રસ્તાને બદલે લેવાતો ફરીને જતો / લાંબો રસ્તો.,ડીટૂર,noun,Intermediate,We took a detour to avoid the traffic.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Head towards,કોઈ દિશા તરફ આગળ વધવું / જવું.,હેડ ટુવર્ડ્સ,verb phrase,Intermediate,Let's head towards the exit.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Around the corner,તદ્દન નજીક; અથવા બહુ જલદી આવનારું.,અરાઉન્ડ ધ કોર્નર,phrase,Intermediate,The pharmacy is just around the corner.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Bound for,કોઈ ચોક્કસ સ્થળ તરફ જઈ રહેલું / રવાના.,બાઉન્ડ ફૉર,phrase,Advanced,This train is bound for Mumbai.,Everyday_Situations; Asking_&_Navigation; Advanced
Everyday Situations,Manage,કોઈ (મુશ્કેલ) કામ પાર પાડવું / સંભાળી લેવું.,મેનેજ,verb,Intermediate,Somehow I managed to finish on time.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Sort out,સમસ્યા ઉકેલવી / વ્યવસ્થિત ગોઠવી લેવું.,સોર્ટ આઉટ,phrasal verb,Intermediate,We need to sort out this misunderstanding.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Figure out,વિચારીને સમજવું / ઉકેલ શોધવો.,ફિગર આઉટ,phrasal verb,Intermediate,I can't figure out how this works.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Postpone,કોઈ કાર્યક્રમ કે કામ પાછળ ઠેલવું / મુલતવી રાખવું.,પોસ્ટપોન,verb,Intermediate,They postponed the match due to rain.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Reschedule,નક્કી કરેલા સમય/તારીખ બદલવી / ફરી ગોઠવવી.,રીશેડ્યૂલ,verb,Intermediate,I need to reschedule our appointment.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Run errands,"રોજિંદાં નાનાં કામ (ખરીદી, બિલ ભરવું વગેરે) પતાવવા જવું.",રન એરન્ડ્સ,phrase,Intermediate,I have to run a few errands this morning.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Drop off,કોઈને કે કંઈને કોઈ જગ્યાએ મૂકી આવવું.,ડ્રોપ ઑફ,phrasal verb,Intermediate,Can you drop me off at the station?,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Exhausted,"અત્યંત થાકેલું, સાવ નિચોવાઈ ગયેલું.",ઇગ્ઝૉસ્ટેડ,adjective,Intermediate,I'm exhausted after the long journey.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Overwhelmed,એટલું બધું થઈ જાય કે સંભાળી ન શકાય એવી લાગણી; ભારે દબાણ.,ઓવરવેલ્મ્ડ,adjective,Advanced,She felt overwhelmed by all the responsibilities.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Content,જે છે તેમાં ખુશ અને સંતુષ્ટ; શાંત.,કન્ટેન્ટ,adjective,Intermediate,She is content with her simple life.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Anxious,કોઈ અનિશ્ચિત વાત અંગે ચિંતિત કે બેચેન.,એન્ગ્ઝિયસ,adjective,Intermediate,She was anxious about the test results.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Relieved,ચિંતા ટળી જતાં હળવાશ અને રાહત અનુભવવી.,રિલીવ્ડ,adjective,Intermediate,I was relieved to hear you're safe.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Frustrated,ધાર્યું ન થઈ શકતાં ચીડ અને નિરાશા અનુભવવી.,ફ્રસ્ટ્રેટેડ,adjective,Intermediate,He was frustrated with the slow internet.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Swamped,કામથી લદાયેલું; એટલું બધું કામ કે પહોંચી ન વળાય.,સ્વોમ્પ્ડ,adjective,Advanced,I'm swamped with work this week.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Meanwhile,એ દરમિયાન; એ જ સમય દરમ્યાન.,મીનવ્હાઇલ,adverb,Intermediate,"You cook; meanwhile, I'll set the table.",Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,Eventually,આખરે; લાંબા સમય કે પ્રયત્ન પછી છેવટે.,ઇવેન્ચ્યુઅલી,adverb,Intermediate,"After many tries, she eventually succeeded.",Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,Beforehand,અગાઉથી; કોઈ ઘટના પહેલાં.,બિફોરહેન્ડ,adverb,Intermediate,Please let me know beforehand if you're coming.,Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,In the meantime,એ દરમ્યાનના સમયમાં; બીજું કંઈ થાય ત્યાં સુધી.,ઇન ધ મીનટાઇમ,phrase,Advanced,"The doctor will see you soon; in the meantime, please wait.",Everyday_Situations; Time_&_Routine; Advanced
Everyday Situations,Sooner or later,"વહેલા-મોડા; આજે નહિ તો કાલે, પણ થશે જરૂર.",સૂનર ઑર લેટર,phrase,Intermediate,"Sooner or later, the truth will come out.",Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,For the time being,"હાલ પૂરતું; હમણાં માટે, સ્થિતિ બદલાય ત્યાં સુધી.",ફૉર ધ ટાઇમ બીઇંગ,phrase,Advanced,"For the time being, we'll stay at a hotel.",Everyday_Situations; Time_&_Routine; Advanced
Everyday Situations,Reunion,"લાંબા સમય પછી મળેલા લોકોનો સમાવેશ, ખાસ કરીને મિત્રો અથવા પરિવારના સભ્યોની મુલાકાત.",રિયુનિયન,noun,Intermediate,The family reunion was a wonderful opportunity to reconnect with distant relatives.,Everyday_Situations; Social_&_Greetings; Intermediate
Everyday Situations,Condolence,"દુઃખ અને સાંત્વનાની લાગણી અથવા અભિવ્યક્તિ, ખાસ કરીને કોઈના મૃત્યુ પર.",કંડોલન્સ,noun,Advanced,The family received many condolences after the loss of their loved one.,Everyday_Situations; Social_&_Greetings; Advanced
Everyday Situations,Courtesy,"આદરપૂર્ણ અને શિષ્ટ વર્તણૂક, ખાસ કરીને ઉચ્ચ હોદ્દા અથવા અધિકાર ધરાવતા વ્યક્તિ તરફ.",કર્ટસી,noun,Intermediate,The hotel staff showed excellent courtesy to the guests.,Everyday_Situations; Social_&_Greetings; Intermediate
Everyday Situations,Formality,"ઔપચારિક અથવા અધિકૃત ગુણવત્તા, ખાસ કરીને વર્તણૂક, ભાષા, અથવા વિધિમાં.",ફોર્માલિટી,noun,Advanced,The formality of the wedding ceremony was impressive.,Everyday_Situations; Social_&_Greetings; Advanced
Everyday Situations,Greeting,"સ્વાગત અથવા શુભેચ્છાનું સંદેશ અથવા અભિવ્યક્તિ, ખાસ કરીને કોઈને મળવા અથવા વિશેષ પ્રસંગે.",ગ્રીટિંગ,noun,Intermediate,"The greeting ceremony was a grand affair, with many dignitaries in attendance.",Everyday_Situations; Social_&_Greetings; Intermediate
Everyday Situations,Hospitality,મહેમાનો અથવા મુલાકાતીઓ તરફ મિત્રતાપૂર્ણ અને સ્વાગતપૂર્ણ વર્તણૂકની ગુણવત્તા.,હોસ્પિટાલિટી,noun,Intermediate,"The hospitality of the hotel staff was excellent, making our stay very comfortable.",Everyday_Situations; Social_&_Greetings; Intermediate
Everyday Situations,Introduction,"એક વ્યક્તિનું બીજા વ્યક્તિને રજૂઆત કરવી, ખાસ કરીને સામાજિક અથવા વ્યવસાયિક સેટિંગમાં.",ઇન્ટ્રોડક્શન,noun,Intermediate,"The introduction ceremony was a grand affair, with many dignitaries in attendance.",Everyday_Situations; Social_&_Greetings; Intermediate
Everyday Situations,Politeness,"વર્તણૂક અથવા બોલચાલમાં આદરપૂર્ણ, શિષ્ટ અને સમ્માનજનક હોવાની ગુણવત્તા.",પોલાઇટનેસ,noun,Intermediate,"The politeness of the hotel staff was impressive, making our stay very comfortable.",Everyday_Situations; Social_&_Greetings; Intermediate
Everyday Situations,Respect,"કોઈ વ્યક્તિ અથવા વસ્તુ માટે પ્રશંસા અથવા આદરની લાગણી, ખાસ કરીને તેમના ગુણો અથવા સિદ્ધિઓને કારણે.",રેસ્પેક્ટ,noun,Intermediate,The respect of the students for their teacher was evident in their behavior.,Everyday_Situations; Social_&_Greetings; Intermediate
Everyday Situations,Salutation,"ઔપચારિક અથવા અનૌપચારિક સ્વાગત, ખાસ કરીને લેખન અથવા વ્યક્તિગત રીતે કોઈને સંબોધવા માટે વપરાતું.",સેલ્યુટેશન,noun,Advanced,The salutation at the beginning of the letter was formal and respectful.,Everyday_Situations; Social_&_Greetings; Advanced
Everyday Situations,Excuse me,કોઈનું ધ્યાન આકર્ષિત કરવા અથવા વિક્ષેપ કરવા બદલ માફી માંગવા માટે વપરાતી શિષ્ટ રીત.,એક્સક્યૂઝ મી,phrase,Intermediate,"Excuse me, where is the restroom?",Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,May I,કંઈક કરવાની પરવાનગી માંગવાની શિષ્ટ રીત.,મે આઈ,phrase,Intermediate,"May I have a cup of coffee, please?",Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,Please,કોઈને વિનંતી કરવા અથવા આભાર વ્યક્ત કરવાની શિષ્ટ રીત.,પ્લીઝ,adverb,Intermediate,Please help me with this task.,Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,Thank you,આભાર અથવા કૃતજ્ઞતા વ્યક્ત કરવાની શિષ્ટ રીત.,થેંક યુ,phrase,Intermediate,Thank you for your help.,Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,Sorry,માફી માંગવા અથવા ખેદ વ્યક્ત કરવાની શિષ્ટ રીત.,સોરી,adjective,Intermediate,Sorry to hear about your loss.,Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,Welcome,કોઈને અભિવાદન કરવા અથવા તેમને સુખદ અનુભવ કરાવવાની શિષ્ટ રીત.,વેલકમ,interjection,Intermediate,Welcome to our home.,Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,Help yourself,કોઈને કંઈક ઓફર કરવા અથવા તેમને કંઈક લેવાની પરવાનગી આપવાની શિષ્ટ રીત.,હેલ્પ યર્સેલ્ફ,phrase,Intermediate,Help yourself to another cup of coffee.,Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,I'm afraid,ખેદ અથવા માફી માંગવાની શિષ્ટ રીત.,આઈમ એફ્રેઈડ,phrase,Advanced,I'm afraid I forgot your birthday.,Everyday_Situations; Polite_Requests_&_Responses; Advanced
Everyday Situations,If you don't mind,પરવાનગી માંગવા અથવા વિનંતી કરવાની શિષ્ટ રીત.,ઈફ યુ ડોન્ટ માઈંડ,phrase,Advanced,"If you don't mind, could I ask you a question?",Everyday_Situations; Polite_Requests_&_Responses; Advanced
Everyday Situations,No problem,વિનંતીનો જવાબ આપવા અથવા કંઈક સમસ્યા નથી એવું દર્શાવવાની શિષ્ટ રીત.,નો પ્રોબ્લમ,phrase,Intermediate,"No problem, I can help you.",Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,En route,"માર્ગ પર, પ્રવાસ દરમિયાન. કોઈ જગ્યાએ જતી વખતે થતી વાતો અથવા કરવામાં આવતી બાબતો.",એન રૂટ,phrasal verb,Intermediate,The bus stopped en route to pick up more passengers.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,In transit,એક જગ્યાથી બીજી જગ્યાએ લઈ જવાની પ્રક્રિયામાં. ટ્રાન્ઝિટ એ કોઈ વસ્તુને લઈ જવાની અથવા મોકલવાની પ્રક્રિયાનું વર્ણન કરે છે.,ઇન ટ્રાન્ઝિટ,phrasal verb,Intermediate,The package is in transit and will arrive tomorrow.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Turn back,તમે આવ્યા તે રસ્તે પાછા ફરવું. ટર્ન બેક એ પોતાનો રસ્તો બદલવાની અને પાછા જવાની ક્રિયાનું વર્ણન કરે છે.,ટર્ન બેક,phrasal verb,Intermediate,"We got lost, so we had to turn back and ask for directions.",Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Get lost,ખોવાઈ જવું અથવા પોતાનો રસ્તો શોધી ન શકવો. ગેટ લોસ્ટ એ ખોવાઈ જવાની અથવા ગુંચવણમાં હોવાની સ્થિતિનું વર્ણન કરે છે.,ગેટ લોસ્ટ,phrasal verb,Intermediate,I got lost in the city because I didn't have a map.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Make a detour,"એક અલગ રસ્તો અથવા માર્ગ લેવો, ઘણીવાર કારણ કે સામાન્ય રસ્તો બંધ અથવા બંધ છે. મેક એ ડિટોર એ ગૌણ માર્ગ લેવાની ક્રિયાનું વર્ણન કરે છે.",મેક એ ડિટોર,phrasal verb,Advanced,We had to make a detour because of the road construction.,Everyday_Situations; Asking_&_Navigation; Advanced
Everyday Situations,Take a shortcut,એક રસ્તો લેવો જે ટૂંકો અથવા વધુ સીધો છે પરંપરાગત એક. ટેક એ શોર્ટકટ એ વધુ કાર્યક્ષમ માર્ગ લેવાની ક્રિયાનું વર્ણન કરે છે.,ટેક એ શોર્ટકટ,phrasal verb,Intermediate,I took a shortcut through the park to get to work faster.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Be on the right track,કોઈ વસ્તુ સાચી રીતે કરવી અથવા લક્ષ્ય તરફ પ્રગતિ કરવી. બી ઓન ધ રાઇટ ટ્રેક એ સાચા માર્ગ પર હોવાની સ્થિતિનું વર્ણન કરે છે.,બી ઓન ધ રાઇટ ટ્રેક,idiomatic expression,Intermediate,I think I'm on the right track with this project.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Get off track,વિક્ષેપિત થવું અથવા મુખ્ય લક્ષ્ય અથવા કાર્યથી ધ્યાન ભટકાવવું. ગેટ ઓફ ટ્રેક એ ઇરાદા કરેલા માર્ગથી દૂર થવાની સ્થિતિનું વર્ણન કરે છે.,ગેટ ઓફ ટ્રેક,phrasal verb,Intermediate,I got off track and forgot what I was doing.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Find one's way,સાચો માર્ગ અથવા દિશા શોધવી અથવા નક્કી કરવી. ફાઈન્ડ વન્સ વે એ સાચા માર્ગને શોધવા અથવા ઓળખવાની ક્રિયાનું વર્ણન કરે છે.,ફાઈન્ડ વન્સ વે,phrasal verb,Intermediate,It took me a while to find my way around the new city.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Take the lead,આગેવાની લેવી અથવા નેતાની ભૂમિકા સ્વીકારવી. ટેક ધ લીડ એ માર્ગદર્શક અથવા દિશાદર્શક બનવાની ક્રિયાનું વર્ણન કરે છે.,ટેક ધ લીડ,phrasal verb,Intermediate,The project manager took the lead on the new initiative.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Prioritize,કામોને મહત્વના અને ઓછા મહત્વના તરીકે વર્ગીકૃત કરવું અને સૌથી મહત્વના કામોને પહેલાં કરવું.,પ્રાયોરાઇટાઇઝ,verb,Intermediate,I need to prioritize my tasks for the day.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Delegate,કોઈ વ્યક્તિને કોઈ વિશિષ્ટ કામ કરવા અથવા નિર્ણય લેવાનો અધિકાર આપવો.,ડેલિગેટ,verb,Intermediate,The manager delegated the task to her assistant.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Procrastinate,"કોઈ કામ કરવામાં વિલંબ કરવો અથવા ટાળવું, ઘણીવાર કારણ કે તે અપ્રિય અથવા બોરિંગ છે.",પ્રોક્રાસ્ટિનેટ,verb,Intermediate,I tend to procrastinate when it comes to doing my homework.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Multitask,"એકસાથે ઘણી વસ્તુઓ કરવી, જેમ કે કમ્પ્યુટર પર કામ કરવું જ્યારે ફોન પર વાત કરવી.",મલ્ટિટાસ્ક,verb,Intermediate,I can multitask and finish all my work on time.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Time-blocking,સમય વ્યવસ્થાપનની એક ટેકનિક જ્યાં તમે એક કામ પર ધ્યાન કેન્દ્રિત કરવા માટે અવિચ્છિન્ન સમયના મોટા બ્લોક્સને શેડ્યૂલ કરો છો.,ટાઇમ-બ્લોકિંગ,noun,Advanced,I use time-blocking to schedule my day and stay focused.,Everyday_Situations; Managing_Daily_Tasks; Advanced
Everyday Situations,Batching,ઉત્પાદકતાની ટેકનિક જ્યાં તમે સમાન કામોને એકસાથે જૂથ કરો છો અને તેમને એક સેશનમાં પૂર્ણ કરો છો.,બેચિંગ,noun,Advanced,I use batching to manage my emails and respond to them all at once.,Everyday_Situations; Managing_Daily_Tasks; Advanced
Everyday Situations,Pomodoro,"સમય વ્યવસ્થાપનની ટેકનિક જ્યાં તમે 25-મિનિટના સમયગાળામાં કામ કરો છો, ત્યારબાદ 5-મિનિટનો વિરામ.",પોમોડોરો,noun,Advanced,I use the Pomodoro technique to stay focused and avoid distractions.,Everyday_Situations; Managing_Daily_Tasks; Advanced
Everyday Situations,Automate,"મશીનો અથવા કમ્પ્યુટરોનો ઉપયોગ કરવો કોઈ કામ કરવા માટે, જેથી તે સ્વયંસંચાલિત રીતે માનવ હસ્તક્ષેપ વિના કરી શકાય.",ઑટોમેટ,verb,Intermediate,The company automated their manufacturing process to increase efficiency.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Outsource,"કોઈ કામ અથવા નોકરીને કંપની અથવા સંસ્થાની બહારના કોઈને આપવું, જેથી તે વધુ કારકિર્દી અથવા ઓછા ખર્ચે કરી શકાય.",આઉટસોર્સ,verb,Intermediate,The company outsourced their customer service to a call center.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Downsize,"કંપની, કાર્યબળ, અથવા બજેટ જેવી કોઈ વસ્તુનું કદ અથવા પ્રમાણ ઘટાડવું.",ડાઉનસાઇઝ,verb,Advanced,The company downsized their operations to reduce costs.,Everyday_Situations; Managing_Daily_Tasks; Advanced
Everyday Situations,Ecstatic,અતિશય ખુશી અથવા ઉત્સાહની લાગણી થતી હોય.,એક્સ્ટેટિક,adjective,Advanced,The crowd went ecstatic when their team won the championship.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Nostalgic,ભૂતકાળની વાતો યાદ કરતી વખતે ખુશી અને થોડો દુઃખ એમ બંને લાગણીઓ થતી હોય.,નોસ્ટાલ્જિક,adjective,Advanced,The old photograph made her nostalgic for her childhood.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Serene,"શાંત, પ્રશાંત અને નિર્વિકાર.",સેરીન,adjective,Intermediate,The serene beauty of the lake was breathtaking.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Exhilarated,"અતિશય ખુશી અને ઉત્સાહથી ભરાયેલું, ઘણીવાર રોમાંચક અનુભવને કારણે.",એક્સિલરેટેડ,adjective,Advanced,She felt exhilarated after skydiving for the first time.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Melancholy,"દુઃખ અથવા નિરાશાની લાગણી, ઘણીવાર સ્પષ્ટ કારણ વિના.",મેલાન્કોલી,adjective,Advanced,The rainy day put her in a melancholy mood.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Euphoric,અતિશય ખુશી અથવા ઉત્સાહની લાગણી થતી હોય.,યુફોરિક,adjective,Advanced,The crowd was euphoric when their team won the championship.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Despondent,અતિશય દુઃખી અથવા નિરાશ.,ડિસ્પોન્ડન્ટ,adjective,Advanced,The news of the loss made him despondent.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Resigned,કંઈક અપ્રિય અથવા અવાંછિત હોવા છતાં તેને સ્વીકારવું કારણ કે તે બદલી શકાતું નથી.,રિઝાઇન્ડ,adjective,Intermediate,She felt resigned to her fate.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Morose,કડક અથવા ધૂંધળી વૃત્તિ; દુઃખી.,મોરોઝ,adjective,Advanced,The morose expression on his face made him look unapproachable.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Pensive,"કંઈક વિશે ઊંડો વિચાર કરવો, ઘણીવાર દુઃખી એવી લાગણીથી.",પેન્સિવ,adjective,Advanced,The pensive expression on her face showed her deep thinking.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Ahead of schedule,નક્કી કરેલા સમય પહેલાં પૂર્ણ થયેલું કામ.,એહેડ ઑફ શેડ્યૂલ,phrase,Intermediate,The construction project was finished ahead of schedule.,Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,Backlog,એવું કામ કે જે થતાં વિલંબ થયો હોય અને હવે પૂર્ણ કરવાની જરૂર છે.,બેકલૉગ,noun,Advanced,The company has a large backlog of orders to fill.,Everyday_Situations; Time_&_Routine; Advanced
Everyday Situations,Deadline,એવો સમય કે જેના અંતે કામ પૂર્ણ થવું જોઈએ.,ડેડલાઈન,noun,Intermediate,The deadline for the project is next Friday.,Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,Overtime,સામાન્ય કાર્ય કલાકોની બહાર કામ કરવું.,ઓવરટાઈમ,noun,Intermediate,The employee worked overtime to finish the project.,Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,Punctuality,સમયસરતા અને નિયમિતતાનું ગુણ.,પંક્ચ્યુઅલિટી,noun,Advanced,Punctuality is important in the workplace.,Everyday_Situations; Time_&_Routine; Advanced
Everyday Situations,Scheduling,કામો અથવા ઘટનાઓનું આયોજન અને સંગઠન.,શેડ્યૂલિંગ,noun,Intermediate,The manager is responsible for scheduling the meetings.,Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,Time management,વિવિધ પ્રવૃત્તિઓ પર કેટલો સમય ખર્ચવાનું તેનું આયોજન અને નિયંત્રણ.,ટાઈમ મેનેજમેન્ટ,phrase,Intermediate,Good time management is essential for success.,Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,Time zone,એક પ્રદેશ કે જેમાં એક જ સમય માનક અનુસરવામાં આવે છે.,ટાઈમ ઝોન,noun,Intermediate,The company has offices in different time zones.,Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,To-do list,એવી યાદી કે જેમાં કરવાના કામોની યાદી બનાવવામાં આવી છે.,ટુ-ડુ લિસ્ટ,phrase,Intermediate,I make a to-do list every morning to stay organized.,Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,Turnaround,એવો સમય કે જેમાં એક કામ અથવા પ્રોજેક્ટ પૂર્ણ થાય છે અને તેને ફરીથી ઉપયોગમાં લેવા માટે તૈયાર કરવામાં આવે છે.,ટર્નઅરાઉન્ડ,noun,Advanced,The company aims to reduce the turnaround time for customer requests.,Everyday_Situations; Time_&_Routine; Advanced
Places,Downtown,શહેરનો મધ્ય / મુખ્ય વેપારી વિસ્તાર.,ડાઉનટાઉન,noun/adverb,Intermediate,She works downtown in a tall office building.,Places; Around_Town; Intermediate
Places,Suburb,શહેરની બહારનો રહેણાંક વિસ્તાર / પરું.,સબર્બ,noun,Intermediate,They moved to a quiet suburb last year.,Places; Around_Town; Intermediate
Places,Outskirts,શહેર કે ગામની બહારની હદ / છેવાડાનો વિસ્તાર.,આઉટસ્કર્ટ્સ,noun,Intermediate,Their farm is on the outskirts of the city.,Places; Around_Town; Intermediate
Places,Neighbourhood,આસપાસનો વિસ્તાર / પડોશ.,નેબરહૂડ,noun,Intermediate,We live in a friendly neighbourhood.,Places; Around_Town; Intermediate
